context,file_name,file_path,identifier_name,identifier_type,line_number,modified_date
"Previous lines: contexts: Documentation and usage contexts associated with identifiers | relationship_map: Network of connections between related identifiers | """" | Line: def __init__(self) -> None:",code_seed.py,code_seed.py,__init__,function,103,2025-03-28
"Previous lines: # Network of relationships between identifier | self.relationship_map: Dict[str, Set[str]] = defaultdict(set | logger.debug(""IdentifierTracker initialized with patterns for multiple languages"" | Line: def extract_identifiers(self, content: str, file_type: str) -> Dict[str, List[Dict[str, Any]]]:",code_seed.py,code_seed.py,extract_identifiers,function,170,2025-03-28
"Previous lines: logger.debug(f""Extracted {sum(len(ids) for ids in identifiers.values())} identifiers | f""of {len(identifiers)} types from {language} content"" | return identifier | Line: def _determine_language(self, file_type: str) -> str:",code_seed.py,code_seed.py,_determine_language,function,235,2025-03-28
"Previous lines: return lan | # Default to a basic set of pattern | return 'python'  # Default to Python pattern | Line: def _extract_context(self, content: str, match: re.Match) -> str:",code_seed.py,code_seed.py,_extract_context,function,275,2025-03-28
"Previous lines: if inline_comment | context.append(""Comment: "" + inline_comment | return "" | "".join(context | Line: def _update_relationships(self, content: str, id_name: str, match: re.Match) -> None:",code_seed.py,code_seed.py,_update_relationships,function,333,2025-03-28
"Previous lines: # Add bidirectional relationshi | self.relationship_map[id_name].add(other_id | self.relationship_map[other_id].add(id_name | Line: def get_identifier_data(self) -> List[Dict[str, Any]]:",code_seed.py,code_seed.py,get_identifier_data,function,373,2025-03-28
"Previous lines: cognitive_markers: Patterns identifying special documentation element | that reveal developer thought processes | """" | Line: def __init__(self) -> None:",code_seed.py,code_seed.py,__init__,function,419,2025-03-28
"Previous lines: 'question': r'\?{2,}',  # Multiple question marks often indicate uncertaint | 'emphasis': r'!{2,}',  # Multiple exclamation points indicate emphasi | logger.debug(""DocumentationExtractor initialized with patterns for multiple languages"" | Line: def extract_documentation(self, content: str, file_type: str) -> Dict[str, List[Dict[str, Any]]]:",code_seed.py,code_seed.py,extract_documentation,function,472,2025-03-28
"Previous lines: logger.debug(f""Extracted {sum(len(docs) for docs in documentation.values())} documentation | f""elements of {len(documentation)} types from {language} content"" | return documentatio | Line: def _determine_language(self, file_type: str) -> str:",code_seed.py,code_seed.py,_determine_language,function,532,2025-03-28
"Previous lines: return lan | # Default to a basic set of pattern | return 'python'  # Default to Python pattern | Line: def _clean_doc_content(self, content: str) -> str:",code_seed.py,code_seed.py,_clean_doc_content,function,572,2025-03-28
"Previous lines: content = re.sub(r'\s+', ' ', content | content = content.strip( | return conten | Line: def _extract_cognitive_markers(self, content: str) -> Dict[str, List[str]]:",code_seed.py,code_seed.py,_extract_cognitive_markers,function,606,2025-03-28
"Previous lines: marker_content = match.group(1) if match.groups() else match.group(0 | markers[marker_type].append(marker_content.strip() | return dict(markers | Line: def get_documentation_data(self, documentation: Dict[str, List[Dict[str, Any]]]) -> List[Dict[str, Any]]:",code_seed.py,code_seed.py,get_documentation_data,function,631,2025-03-28
"Previous lines: pattern_frequencies: Occurrence counts for recognized patterns | signature_elements: Distinctive elements that define code ""signatures"" | """" | Line: def __init__(self) -> None:",code_seed.py,code_seed.py,__init__,function,684,2025-03-28
"Previous lines: 'block_comments': r'/\*.*?\*/' | } | logger.debug(""PatternRecognizer initialized with pattern templates"" | Line: def recognize_patterns(self, content: str, file_type: str) -> Dict[str, int]:",code_seed.py,code_seed.py,recognize_patterns,function,758,2025-03-28
"Previous lines: logger.debug(f""Recognized {sum(pattern_counts.values())} pattern instances | f""across {len(pattern_counts)} pattern types"" | return dict(pattern_counts | Line: def identify_signatures(self, content: str) -> Dict[str, Dict[str, int]]:",code_seed.py,code_seed.py,identify_signatures,function,788,2025-03-28
"Previous lines: if category_counts | signatures[category] = category_count | return signature | Line: def get_dominant_patterns(self) -> List[Dict[str, Any]]:",code_seed.py,code_seed.py,get_dominant_patterns,function,820,2025-03-28
"Previous lines: 'category': self._get_pattern_category(pattern) | } | return pattern_dat | Line: def _get_pattern_category(self, pattern: str) -> str:",code_seed.py,code_seed.py,_get_pattern_category,function,843,2025-03-28
